exercise,attempts,corrects,attempts_aft
BubsortPRO,926,738,49
BubsortSumm,2131,1123,426
InssortSumm,2979,1382,745
InssortPRO,1203,821,153
SortIntroSumm,1488,727,374
SelsortSumm,3333,1397,695
SelsortPRO,1025,754,77
IntroSumm,1506,1113,390
BTLeafPROG,894,135,95
ArryLstSumm,962,615,190
alistDeletePRO,791,725,34
alistInsertPRO,920,749,56
ListADTPROG,786,411,50
llistInsertPRO,1180,725,36
LstLnkdSumm,2601,1338,435
llistRemovePRO,1779,878,71
ListOverhead,1305,516,122
StckQSumm,1436,857,126
LstChptrSumm,1435,908,229
StTFreltn,2841,1250,238
StTFeqvlnc,1146,588,148
StTFprtlordr,1256,628,142
AnalPairSumm,4723,1490,784
AnalProgramSumm,3234,1167,491
AlgAnalSumm,6506,1470,815
CompareSumm,2552,1219,348
DesignSumm,4111,1486,454
FindInversionsPRO,1951,849,134
ExchangeSumm,2684,1147,466
HeapSumm,2095,607,161
QuicksortPivotPRO,1022,792,153
QuicksortPartitPRO,1969,819,75
QuicksortSumm,3999,1313,733
HeapsortStepPRO,2351,766,139
HeapsortSumm,3101,1256,644
astackPopPRO,756,716,34
astackPushPRO,929,712,46
aqueueDequeuePRO,1235,754,75
aqueueEnqueuePRO,2293,863,179
lqueueDequeuePRO,1209,736,22
lqueueEnqueuePRO,945,714,27
lstackPopPRO,711,693,23
lstackPushPRO,724,685,20
MthBgSumm,2684,999,321
LstSumm,1016,616,232
TreeOverheadSumm,3717,989,339
ShellsortSublist,1193,782,66
ShellsortSeries,1730,1110,398
ShellsortSumm,3330,1295,750
MergesortMergePRO,873,704,40
MergesortSumm,3362,1374,681
RadixsortPRO,1355,762,38
RadixSortSumm,4482,1437,836
SortAlgCompSumm,3025,1391,640
SortBoundSumm,2666,972,491
ChapterSumm,5115,2353,663
HashFuncPROSumm,1821,839,92
HashFuncSumm,2816,1228,439
OpenHashPRO,908,700,29
TreeIndexing,1749,787,166
HashChapterSumm,2859,1774,368
HashingPseudoRandomProbePRO,1395,783,67
HashingQuadraticProbePRO,1280,794,131
HashingLinearStepProbePRO,1278,765,69
HashingDoubleProbePRO,2020,874,191
HashAnalSumm,2334,1095,355
HashDelSumm,922,597,204
HashingLinearProbePRO,739,697,53
HashingBucket2PRO,1263,769,71
HashingBucketPRO,1192,750,79
DefSumm,17,10,0
